QUEUE_ID,CU,CPU_USAGE,MEM_USAGE,LAUNCHING_JOB_NUMS,RUNNING_JOB_NUMS,SUCCEED_JOB_NUMS,CANCELLED_JOB_NUMS,FAILED_JOB_NUMS,DOTTING_TIME,DISK_USAGE,QUEUE_TYPE_general,QUEUE_TYPE_spark,QUEUE_TYPE_sql
2,16,3,54,0,0,0,0,0,2020-05-28 16:25:00,20,0,0,1
2,16,2,54,0,0,0,0,0,2020-05-28 16:30:00,20,0,0,1
2,16,7,54,0,0,0,0,0,2020-05-28 16:35:00,20,0,0,1
2,16,4,54,0,0,0,0,0,2020-05-28 16:40:00,20,0,0,1
2,16,5,54,0,0,0,0,0,2020-05-28 16:42:00,20,0,0,1
2,16,3,55,0,0,0,0,0,2020-05-28 16:47:00,20,0,0,1
2,16,2,54,0,0,0,0,0,2020-05-28 16:52:00,20,0,0,1
2,16,2,54,0,0,0,0,0,2020-05-28 16:57:00,20,0,0,1
2,16,5,54,0,0,0,0,0,2020-05-28 17:02:00,20,0,0,1
2,16,6,54,0,0,0,0,0,2020-05-28 17:07:00,20,0,0,1
2,16,2,55,0,0,0,0,0,2020-05-28 17:13:00,20,0,0,1
2,16,3,55,0,0,0,0,0,2020-05-28 17:18:00,20,0,0,1
2,16,10,54,1,0,0,0,0,2020-05-28 17:23:00,20,0,0,1
2,16,6,54,1,0,0,0,0,2020-05-28 17:28:00,20,0,0,1
2,16,13,54,1,0,0,0,0,2020-05-28 17:33:00,20,0,0,1
2,16,4,54,1,0,0,0,0,2020-05-28 17:38:00,20,0,0,1
2,16,21,16,0,0,2,0,0,2020-05-28 17:53:00,23,0,0,1
2,16,5,17,0,0,0,0,0,2020-05-28 17:59:00,23,0,0,1
2,16,7,17,0,0,0,0,0,2020-05-28 18:04:00,23,0,0,1
2,16,6,17,0,0,0,0,0,2020-05-28 18:09:00,23,0,0,1
2,16,3,17,0,0,0,0,0,2020-05-28 18:14:00,23,0,0,1
2,16,3,18,0,0,0,0,0,2020-05-28 18:19:00,23,0,0,1
2,16,7,18,0,0,0,0,0,2020-05-28 18:24:00,23,0,0,1
2,16,3,18,0,0,0,0,0,2020-05-28 18:29:00,23,0,0,1
2,16,6,18,0,0,0,0,0,2020-05-28 18:34:00,23,0,0,1
2,16,4,18,0,0,0,0,0,2020-05-28 18:40:00,23,0,0,1
2,16,11,18,0,0,0,0,0,2020-05-28 18:45:00,23,0,0,1
2,16,6,18,0,0,0,0,0,2020-05-28 18:50:00,23,0,0,1
2,16,5,18,0,0,0,0,0,2020-05-28 18:55:00,23,0,0,1
2,16,7,19,0,0,0,0,0,2020-05-28 19:00:00,23,0,0,1
2,16,5,18,0,0,0,0,0,2020-05-28 19:05:00,23,0,0,1
2,16,2,19,0,0,0,0,0,2020-05-28 19:10:00,23,0,0,1
2,16,1,19,0,0,0,0,0,2020-05-28 19:15:00,23,0,0,1
2,16,4,19,0,0,0,0,0,2020-05-28 19:20:00,23,0,0,1
2,16,6,19,0,0,0,0,0,2020-05-28 19:26:00,23,0,0,1
2,16,5,19,0,0,0,0,0,2020-05-28 19:31:00,23,0,0,1
2,16,6,19,0,0,0,0,0,2020-05-28 19:36:00,23,0,0,1
2,16,2,19,0,0,0,0,0,2020-05-28 19:41:00,23,0,0,1
2,16,2,19,0,0,0,0,0,2020-05-28 19:46:00,23,0,0,1
2,16,5,20,0,0,0,0,0,2020-05-28 19:51:00,23,0,0,1
2,16,6,19,0,0,0,0,0,2020-05-28 19:56:00,23,0,0,1
2,16,4,20,0,0,1,0,0,2020-05-28 20:01:00,23,0,0,1
2,16,2,20,0,0,0,0,0,2020-05-28 20:06:00,23,0,0,1
2,16,3,20,0,0,0,0,0,2020-05-28 20:12:00,23,0,0,1
